,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,MS4A18,CUX2,SIX3,ICOS,ADH1B,IL1RN,FAM163A,TBX1,FBP1,CYP4F3,XCR1,PF4,RGS13,TAGLN3,SDC1,STEAP1,CA10,GJA5,SIGLEC8,ACOD1,WNT7A,BANK1,SERPINB3,GZMH
1,MFAP4,CLEC4C,UGT2A3,CTLA4,TMEM196,DEFA3,PAPPA,GNAT3,CCL18,RNASE2,GPR31,CLEC4M,CTCFL,HBA1,XBP1,C5orf46,TFPI2,SOX17,PLA2G2D,ANKRD22,CD40LG,MS4A1,SLC6A14,GNLY
2,L1CAM,LILRA4,MMP7,TMEM232,CCL21,PI3,FCAMR,HP,MMP12,BPI,SLC24A4,CLEC4G,AICDA,DTHD1,TENT5C,COL3A1,DHRS2,PREX2,FUCA1,LILRB2,CA6,FCRL1,RASSF10,KLRC1
3,CLDN3,LAMP5,ST8SIA3,TNIP3,ZNF804B,HCAR2,PAMR1,FLNC,ALOX15B,CEACAM8,RAB7B,LRRC55,CAMP,RGS6,IGLL5,GPC6,IL9,COL15A1,SIGLEC1,FCN1,XCL2,OR2T11,PRR15,PRF1
4,EMX2,PTCRA,ODF1,TRAT1,COL14A1,TNFAIP6,ERICH3,TFF3,DCSTAMP,RGR,CLEC9A,BCL2L10,CD79B,PRDM8,DERL3,COL1A1,GMNC,AQP1,C1QB,CD300E,KRT72,PAX5,SLITRK6,KLRC2
5,CLU,ARL5C,TNP2,RPH3A,SLC26A7,FFAR2,NPPC,VIP,ORM1,PRTN3,AIRE,CLEC3B,CD79A,FASLG,TAS1R3,POSTN,KRT40,CLEC14A,C1QC,LILRA1,SCML4,CD22,SERPINB13,ZNF683
6,CXCL13,SCT,ILDR1,CDKL2,GREM1,C15orf48,CR2,CRISP2,CDCP1,FCGR3B,NPTX1,STAB2,VPREB3,HAVCR1,DUSP26,PI15,FGF8,SEMA3G,CROCC2,CD33,AK5,SLC38A11,PRSS22,KIR2DL4
7,HS3ST3A1,GZMB,ASZ1,IL21,TNFSF11,HCAR3,SLC1A2,CRISP3,FPR3,PROK2,CPVL,MARCO,SERPINA9,MYB,DCC,MMP1,TRIM15,DHH,FOLR2,CX3CR1,GZMM,TNFRSF13B,SOX2,KLRF1
8,LRTM1,SLC12A3,WNT2,PTPN13,ADRA1A,MTRNR2L1,RGS9,PROX1,CD163,CXCR2,CLNK,CD209,NKX6-3,GZMK,FCRL5,SULF1,CCL17,USH1C,FOLR1,MT1G,HPCAL4,UGT8,OR14J1,CD8A
9,S1PR3,SHD,DUX4,THEMIS,FMO2,MMP8,VIT,SGIP1,SULT1C2,VNN3,FLT3,NRSN1,ACY3,IL19,RASSF6,COL1A2,CCL22,SLCO2A1,IL18,CLEC12B,IL7R,NETO1,DEFB1,NMUR1
